slot,focus_effect,item,item_url,slot_raw,classes,ac,hp,mana,weight,size,era,flags,stats,saves
Arms,Burning Affliction I,Hollowed Bone Bracers,https://eqlwiki.com/Hollowed_Bone_Bracers,ARMS,Cleric|Druid|Bard|Shaman|Necromancer|Wizard|Magician|Enchanter,6,,15,2.5,SMALL,Classic Era,MAGIC ITEM,,MAGIC+7
Arms,Enhancement Haste I,Gatorscale Sleeves,https://eqlwiki.com/Gatorscale_Sleeves,ARMS,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,6,15,,0.3,SMALL,Classic Era,MAGIC ITEM,INT+4,
Arms,Extended Range I,Drake-hide Sleeves,https://eqlwiki.com/Drake-hide_Sleeves,ARMS,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,4,10,,0.1,SMALL,Classic Era,MAGIC ITEM,STA+3,
Arms,Improved Damage I,Azure Sleeves,https://eqlwiki.com/Azure_Sleeves,ARMS,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,12,,,0.6,SMALL,Classic Era,MAGIC ITEM,,
Arms,Mana Preservation I,Platinum Armband,https://eqlwiki.com/Platinum_Armband,ARMS,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,,,,0.3,SMALL,Classic Era,MAGIC ITEM,STR+3 WIS+3,
Arms,Summoning Efficiency II,Embroidered Black Sleeves,https://eqlwiki.com/Embroidered_Black_Sleeves,ARMS,Cleric|Druid|Bard|Shaman|Necromancer|Wizard|Magician|Enchanter,4,10,25,0.4,SMALL,,MAGIC ITEM,,
Back,Improved Damage I,Mammoth Hide Cloak,https://eqlwiki.com/Mammoth_Hide_Cloak,BACK,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,7,,,2.5,MEDIUM,,,WIS+4,COLD+5
Back,Improved Damage III,White Dragonscale Cloak,https://eqlwiki.com/White_Dragonscale_Cloak,BACK,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,10,,75,1.0,MEDIUM,Classic Era,MAGIC ITEM,INT+9 WIS+9,COLD+25
Chest,Affliction Haste II,Green Silken Drape,https://eqlwiki.com/Green_Silken_Drape,CHEST,Necromancer|Wizard|Magician|Enchanter,8,,,3.5,MEDIUM,,MAGIC ITEM,DEX+9 INT+3 STA+9,POISON+15
Chest,Extended Enhancement I,Damask Robe,https://eqlwiki.com/Damask_Robe,CHEST,Necromancer|Wizard|Magician|Enchanter,6,,,1.0,MEDIUM,,MAGIC ITEM,,
Chest,Extended Enhancement I,Lockjaw Hide Vest,https://eqlwiki.com/Lockjaw_Hide_Vest,CHEST,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,12,,,1.5,MEDIUM,Classic Era,MAGIC ITEM,STA+5,
Chest,Extended Enhancement II,Chestplate of the Constant,https://eqlwiki.com/Chestplate_of_the_Constant,CHEST,Cleric,20,,,7.5,LARGE,Temple Era,MAGIC ITEM|LORE ITEM,STA+8,MAGIC+5
Chest,Extended Enhancement II,Totemic Breastplate,https://eqlwiki.com/Totemic_Breastplate,CHEST,Shaman,19,,,6.0,LARGE,,MAGIC ITEM|LORE ITEM,,DISEASE+5 MAGIC+5 POISON+5
Chest,Improved Damage I,Robe of the Oracle,https://eqlwiki.com/Robe_of_the_Oracle,CHEST,Monk|Necromancer|Wizard|Magician|Enchanter,9,,25,2.0,MEDIUM,Classic Era,MAGIC ITEM|LORE ITEM,INT+5 WIS+5,
Chest,Mana Preservation I,Vagrant's Tunic,https://eqlwiki.com/Vagrant's_Tunic,CHEST,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Beastlord|Berserker,8,5,,5.5,TINY,Classic Era,ATTUNABLE,WIS+4,COLD+10
Chest,Minor Improved Damage I,Smoldering Robe,https://eqlwiki.com/Smoldering_Robe,CHEST,Necromancer|Wizard|Magician|Enchanter,4,,5,1.0,MEDIUM,Classic Era,NO TRADE|EQUIPPED|LORE,INT+2,
Chest,Reagent Conservation III,Robe of the Kedge,https://eqlwiki.com/Robe_of_the_Kedge,CHEST,Necromancer|Wizard|Magician|Enchanter,8,,100,1.5,MEDIUM,,MAGIC ITEM|NO DROP,STA+10,
Chest,Reanimation Efficiency I,Flowing Black Robe,https://eqlwiki.com/Flowing_Black_Robe,CHEST,Necromancer|Wizard|Magician|Enchanter,8,,,3.5,MEDIUM,,MAGIC ITEM|LORE ITEM,INT+3 STA+5,
Chest,Reanimation Efficiency I,Ill-Fitting Robes,https://eqlwiki.com/Ill-Fitting_Robes,CHEST,Necromancer|Wizard|Magician|Enchanter,,,,3.5,SMALL,,,,
Chest,Reanimation Efficiency III,Robe of the Ishva,https://eqlwiki.com/Robe_of_the_Ishva,CHEST,Necromancer|Wizard|Magician|Enchanter,8,,50,1.8,MEDIUM,,MAGIC ITEM|LORE ITEM,CHA+5,POISON+14
Chest,Reanimation Haste II,Robe of Enshroudment,https://eqlwiki.com/Robe_of_Enshroudment,CHEST,Necromancer,9,,,3.5,MEDIUM,Temple Era,MAGIC ITEM|LORE ITEM,AGI+4 INT+4,COLD+4 FIRE+4
