name,url,slots,slot_raw,slot_count,classes,class_count,usable_by_all_classes,races_raw,ac,hp,mana,endurance,str,sta,agi,dex,wis,int,cha,sv_fire,sv_cold,sv_magic,sv_poison,sv_disease,sv_void,damage,attack_delay,ratio,skill,range,effect,casting_time,charges,focus_effect,weight,size,flags,era,merchant_value,player_crafted,is_equippable,drop_zones,drop_zone_count,categories,wiki_page_parsed
10 Dose Adrenaline Tap,https://eqlwiki.com/10_Dose_Adrenaline_Tap,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Flurry,8.0,10,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items,True
10 Dose Ant's Potion,https://eqlwiki.com/10_Dose_Ant's_Potion,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Ant Legs,4.0,10,,0.4,SMALL,,,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Blood of the Wolf,https://eqlwiki.com/10_Dose_Blood_of_the_Wolf,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Spirit of Wolf,4.0,10,,0.4,SMALL,,,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Ethira's Poison Antidote,https://eqlwiki.com/10_Dose_Ethira's_Poison_Antidote,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Counteract Poison,2.0,10,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Greater Null Potion,https://eqlwiki.com/10_Dose_Greater_Null_Potion,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Null Aura,4.0,10,,0.4,SMALL,,,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Greater Potion of Antibody,https://eqlwiki.com/10_Dose_Greater_Potion_of_Antibody,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Aura of Antibody,4.0,10,,0.4,SMALL,,,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Greater Potion of Cold,https://eqlwiki.com/10_Dose_Greater_Potion_of_Cold,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Aura of Cold,4.0,10,,0.4,SMALL,,,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Greater Potion of Heat,https://eqlwiki.com/10_Dose_Greater_Potion_of_Heat,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Aura of Heat,4.0,10,,0.4,SMALL,,,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Greater Potion of Negation,https://eqlwiki.com/10_Dose_Greater_Potion_of_Negation,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Nullify Magic,3.0,10,,0.4,SMALL,,,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Greater Potion of Purity,https://eqlwiki.com/10_Dose_Greater_Potion_of_Purity,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Aura of Purity,4.0,10,,0.4,SMALL,,,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Greater Potion of Vigor,https://eqlwiki.com/10_Dose_Greater_Potion_of_Vigor,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Vigor,4.0,10,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Kilva's Blistering Flesh,https://eqlwiki.com/10_Dose_Kilva's_Blistering_Flesh,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Scorching Skin,10.0,10,,0.4,SMALL,,,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Kilva's Skin of Flame,https://eqlwiki.com/10_Dose_Kilva's_Skin_of_Flame,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Kilva's Skin of Flame,10.0,10,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
10 Dose Kithar's Disease Treatment,https://eqlwiki.com/10_Dose_Kithar's_Disease_Treatment,,,0,Warrior|Cleric|Paladin|Ranger|Shadow Knight|Druid|Monk|Bard|Rogue|Shaman|Necromancer|Wizard|Magician|Enchanter|Beastlord|Berserker,16,True,ALL,,,,,,,,,,,,,,,,,,,,,,,Counteract Disease,2.0,10,,0.4,SMALL,,Classic Era,,True,False,,0,Inventory Items|Player Crafted,True
